date,district,river,rainfall_mm,temperature_C,soil_moisture,river_level_m,current_dam_level_m,danger_level_m,release_status,flood_event,rainfall_mm_lag1,rainfall_mm_roll7,river_level_m_lag1,river_level_m_roll7
2017-01-19,Mau,Ganga,67.48,32.12,0.272,77.6,77.08,84.86,0,0,0.0,26.358571428571427,81.91,83.19285714285715
2017-01-19,Mau,Ganga,0.0,26.27,0.147,95.52,60.05,98.53,0,0,67.48,26.358571428571427,77.6,83.98857142857142
2017-01-20,Mau,Ganga,0.0,31.27,0.204,82.38,32.46,90.63,0,0,0.0,19.301428571428573,95.52,82.95571428571428
2017-01-20,Gorakhpur,Rapti,0.0,30.37,0.228,85.33,75.56,91.83,0,0,52.81,30.923333333333332,82.76,86.71
2017-01-21,Basti,Sarju,26.53,25.66,0.31,77.71,43.5,85.83,0,0,0.0,23.411428571428576,80.94,83.68857142857142
2017-01-21,Bahraich,Ghaghra,45.67,26.09,0.342,86.89,81.91,95.58,0,0,4.65,24.661666666666665,76.05,87.41833333333334
2017-01-22,Basti,Sarju,31.57,38.71,0.202,81.62,56.7,89.39,0,0,26.53,27.921428571428574,77.71,80.60285714285715
2017-01-22,Mau,Ganga,0.0,37.78,0.063,80.63,34.31,83.07,0,0,0.0,19.301428571428573,82.38,83.1742857142857
2017-01-22,Lakhimpur Kheri,Sharda,81.15,32.59,0.294,83.22,30.0,87.52,0,0,45.56,45.775,87.42,87.68666666666667
2017-01-23,Lakhimpur Kheri,Sharda,19.7,37.07,0.165,90.68,33.45,94.38,0,0,81.15,42.050000000000004,83.22,88.11428571428571
2017-01-23,Ballia,Ganga,46.01,32.5,0.495,84.48,43.95,87.95,0,0,31.4,28.995714285714286,82.36,85.86142857142856
2017-01-23,Gorakhpur,Rapti,66.69,40.94,0.292,88.08,72.02,95.27,0,0,0.0,36.03285714285714,85.33,86.9057142857143
2017-01-24,Gorakhpur,Rapti,0.0,34.18,0.147,90.94,55.23,92.92,0,0,66.69,33.71,88.08,88.20285714285714
2017-01-24,Sitapur,Sarju,69.54,28.57,0.279,78.51,37.58,87.34,0,0,59.03,44.05142857142857,96.19,85.91285714285716
2017-01-24,Basti,Sarju,5.08,42.63,0.154,77.87,81.71,83.02,0,0,31.57,17.38,81.62,78.6557142857143
2017-01-25,Mau,Ganga,0.0,28.44,0.106,84.7,52.39,85.88,0,0,0.0,16.294285714285714,80.63,82.14999999999999
2017-01-25,Basti,Sarju,68.41,31.92,0.266,84.28,59.84,82.96,0,1,5.08,27.15285714285714,77.87,79.50428571428571
2017-01-26,Gorakhpur,Rapti,0.0,34.71,0.187,98.37,90.46,96.4,0,1,0.0,20.41428571428571,90.94,89.60857142857142
2017-01-26,Mau,Ganga,61.47,32.46,0.418,79.43,60.13,82.95,0,0,0.0,18.42142857142857,84.7,83.16714285714286
2017-01-26,Ballia,Ganga,67.79,31.44,0.238,95.7,56.86,99.1,0,0,46.01,36.39,84.48,86.41
2017-01-26,Sitapur,Sarju,19.26,30.95,0.072,95.65,64.85,91.03,0,1,69.54,46.80285714285714,78.51,85.22285714285714
2017-01-27,Bahraich,Ghaghra,40.24,30.23,0.355,92.98,74.72,94.41,0,0,45.67,26.88714285714286,86.89,88.21285714285715
2017-01-27,Gonda,Ghaghra,0.0,24.91,0.088,78.14,61.1,80.52,0,0,0.0,39.43333333333333,84.9,88.41666666666667
2017-01-27,Bahraich,Ghaghra,1.57,38.29,0.238,74.6,33.55,82.82,0,0,40.24,27.111428571428572,92.98,86.90714285714286
2017-01-28,Lakhimpur Kheri,Sharda,34.09,34.72,0.147,88.06,62.66,90.02,0,0,19.7,46.92,90.68,88.41285714285713
2017-01-28,Faizabad,Ghaghra,0.0,31.9,0.224,103.91,75.58,98.89,0,1,0.0,20.1675,87.41,89.4725
2017-01-28,Lakhimpur Kheri,Sharda,19.0,33.19,0.249,85.94,76.72,90.31,0,0,34.09,39.54714285714285,88.06,87.92857142857143
2017-01-29,Bahraich,Ghaghra,29.87,31.55,0.34,86.57,53.6,89.76,0,0,1.57,23.291428571428575,74.6,85.76428571428572
2017-01-30,Barabanki,Gomti,31.22,30.09,0.384,81.48,76.99,90.3,0,0,14.11,32.22571428571428,88.0,86.55999999999999
2017-01-30,Basti,Sarju,0.0,37.92,0.122,90.02,71.78,93.68,0,0,68.41,18.798571428571428,84.28,81.5
2017-01-30,Sitapur,Sarju,0.0,28.71,0.22,73.85,64.88,81.28,0,0,19.26,31.05857142857143,95.65,85.36428571428571
2017-01-30,Faizabad,Ghaghra,36.06,34.41,0.338,88.1,83.86,93.47,0,0,0.0,23.346,103.91,89.19800000000001
2017-01-30,Sitapur,Sarju,0.52,27.61,0.162,85.34,68.13,80.59,0,1,0.0,21.192857142857143,73.85,86.36142857142856
2017-01-30,Basti,Sarju,10.2,27.49,0.239,80.03,53.73,81.55,0,0,0.0,20.255714285714284,90.02,81.78142857142858
2017-01-31,Lakhimpur Kheri,Sharda,0.0,32.87,0.23,72.69,71.68,81.13,0,0,19.0,35.57714285714286,85.94,85.12142857142858
2017-01-31,Bahraich,Ghaghra,0.0,41.27,0.175,79.88,30.0,88.34,0,0,29.87,17.428571428571427,86.57,84.37285714285714
2017-02-01,Basti,Sarju,65.44,32.78,0.393,70.99,50.14,80.93,0,0,10.2,29.604285714285716,80.03,80.36
2017-02-01,Gorakhpur,Rapti,77.96,31.76,0.256,101.99,52.32,98.29,0,1,0.0,28.208571428571425,98.37,91.2042857142857
2017-02-01,Barabanki,Gomti,0.36,27.19,0.245,77.53,69.92,86.69,0,0,31.22,32.277142857142856,81.48,87.33000000000001
2017-02-01,Sitapur,Sarju,60.67,32.2,0.367,73.91,62.65,80.78,0,0,0.52,29.860000000000007,85.34,83.93857142857142
2017-02-01,Bahraich,Ghaghra,0.0,30.49,0.186,86.98,77.67,93.07,0,0,0.0,17.428571428571427,79.88,83.42142857142858
2017-02-02,Barabanki,Gomti,46.88,41.59,0.396,96.5,41.97,98.12,0,0,0.36,37.05285714285714,77.53,89.23142857142857
2017-02-02,Lakhimpur Kheri,Sharda,48.66,38.78,0.0,85.02,57.73,89.95,0,0,0.0,35.45142857142857,72.69,84.71857142857142
2017-02-02,Mau,Ganga,53.21,36.34,0.43,84.3,59.35,82.26,0,1,61.47,26.02285714285714,79.43,83.50857142857141
2017-02-02,Mau,Ganga,18.1,38.46,0.168,78.15,85.65,87.21,0,0,53.21,18.96857142857143,84.3,83.58714285714287
2017-02-02,Basti,Sarju,14.99,43.36,0.062,83.5,52.17,87.65,0,0,65.44,27.955714285714286,70.99,81.18714285714285
2017-02-02,Bahraich,Ghaghra,0.0,26.79,0.166,92.15,54.12,95.51,0,0,0.0,16.764285714285716,86.98,85.72142857142856
2017-02-02,Gonda,Ghaghra,66.54,39.7,0.232,92.52,31.25,99.5,0,0,0.0,43.30571428571428,78.14,89.00285714285714
2017-02-02,Ballia,Ganga,0.0,36.31,0.238,84.87,69.1,94.84,0,0,67.79,36.39,95.7,86.95714285714287
2017-02-03,Ballia,Ganga,0.0,35.91,0.25,83.26,76.05,88.38,0,0,0.0,35.02571428571429,84.87,87.73571428571428
2017-02-03,Gorakhpur,Rapti,0.0,39.09,0.204,88.43,52.19,91.7,0,0,77.96,28.208571428571425,101.99,90.84285714285716
2017-02-03,Ballia,Ganga,0.0,36.62,0.082,88.42,87.12,93.85,0,0,0.0,26.67285714285714,83.26,86.75285714285714
2017-02-03,Barabanki,Gomti,0.0,29.11,0.251,89.95,62.56,93.76,0,0,46.88,28.981428571428573,96.5,88.43714285714285
2017-02-04,Gonda,Ghaghra,66.71,29.12,0.275,78.16,53.95,87.98,0,0,66.54,44.68857142857143,92.52,87.31571428571428
2017-02-04,Barabanki,Gomti,147.72,29.39,0.464,102.67,42.48,95.6,0,1,0.0,41.66571428571428,89.95,89.64
2017-02-04,Faizabad,Ghaghra,31.91,31.93,0.307,77.82,46.58,84.27,0,0,36.06,24.773333333333337,88.1,87.30166666666666
2017-02-04,Bahraich,Ghaghra,0.0,28.45,0.428,92.22,64.13,93.23,0,0,0.0,10.24,92.15,86.48285714285714
2017-02-04,Mau,Ganga,0.0,34.5,0.221,81.53,86.16,88.75,0,0,18.1,18.96857142857143,78.15,81.58857142857143
2017-02-04,Ballia,Ganga,0.0,36.16,0.192,90.8,59.25,97.29,0,0,0.0,20.74285714285714,88.42,87.12714285714286
2017-02-04,Lakhimpur Kheri,Sharda,55.05,35.87,0.528,87.01,67.35,91.21,0,0,48.66,36.80714285714286,85.02,84.66
2017-02-06,Ballia,Ganga,0.0,33.85,0.181,90.14,67.6,99.95,0,0,0.0,16.257142857142856,90.8,88.23857142857143
2017-02-06,Sitapur,Sarju,49.77,37.28,0.273,80.08,70.09,83.9,0,0,60.67,36.970000000000006,73.91,83.36142857142856
2017-02-07,Gonda,Ghaghra,0.0,35.96,0.241,76.21,65.35,85.78,0,0,66.71,40.05142857142857,78.16,85.11428571428571
2017-02-07,Mau,Ganga,70.81,38.96,0.426,84.1,84.85,89.15,0,0,0.0,29.084285714285716,81.53,81.83428571428571
2017-02-07,Faizabad,Ghaghra,0.0,35.76,0.167,79.1,79.84,83.72,0,0,31.91,21.234285714285715,77.82,86.13
2017-02-07,Basti,Sarju,34.79,30.15,0.406,95.88,42.08,97.65,0,0,14.99,28.41571428571429,83.5,83.2242857142857
2017-02-07,Gonda,Ghaghra,0.0,26.41,0.349,76.17,37.53,80.91,0,0,0.0,33.22571428571428,76.21,82.71571428571428
2017-02-07,Sitapur,Sarju,0.0,42.88,0.03,84.85,62.61,91.81,0,0,49.77,28.537142857142857,80.08,81.74142857142859
2017-02-08,Ballia,Ganga,0.0,28.18,0.0,83.58,57.28,93.35,0,0,0.0,9.684285714285712,90.14,88.11
2017-02-08,Gorakhpur,Rapti,4.65,34.01,0.209,73.41,45.35,83.21,0,0,0.0,21.328571428571426,88.43,89.50714285714287
2017-02-09,Bahraich,Ghaghra,96.35,26.29,0.492,97.48,60.35,99.21,0,0,0.0,18.255714285714284,92.22,87.12571428571428
2017-02-09,Gorakhpur,Rapti,13.92,32.68,0.397,91.57,55.53,97.83,0,0,4.65,23.31714285714286,73.41,90.39857142857143
2017-02-09,Barabanki,Gomti,26.81,30.43,0.161,78.45,54.92,80.89,0,0,147.72,38.15714285714285,102.67,87.79714285714286
2017-02-09,Barabanki,Gomti,25.95,42.28,0.315,78.31,100.0,81.46,0,0,26.81,39.848571428571425,78.45,86.41285714285713
2017-02-09,Lakhimpur Kheri,Sharda,0.0,36.51,0.22,87.65,30.0,96.2,0,0,55.05,25.214285714285715,87.01,85.29285714285713
2017-02-09,Bahraich,Ghaghra,19.73,36.68,0.296,85.55,37.38,88.4,0,0,96.35,20.849999999999998,97.48,88.68999999999998
2017-02-09,Sitapur,Sarju,101.91,24.43,0.352,91.6,44.93,96.45,0,0,0.0,33.16142857142857,84.85,83.61142857142856
2017-02-10,Gonda,Ghaghra,8.23,29.31,0.019,102.98,71.56,99.98,0,1,0.0,20.21142857142857,76.17,84.15428571428572
2017-02-11,Basti,Sarju,33.7,28.74,0.301,90.35,71.89,91.82,0,0,34.79,32.504285714285714,95.88,85.00714285714285
2017-02-11,Ballia,Ganga,14.42,35.39,0.073,84.62,59.8,92.72,0,0,0.0,2.06,83.58,86.52714285714286
2017-02-12,Faizabad,Ghaghra,41.48,35.93,0.379,79.48,61.89,82.69,0,0,0.0,16.912857142857142,79.1,86.02714285714285
2017-02-12,Bahraich,Ghaghra,28.28,33.93,0.46,83.07,73.71,91.14,0,0,19.73,20.62285714285714,85.55,88.19000000000001
2017-02-12,Basti,Sarju,0.0,31.0,0.378,85.29,55.55,83.38,0,1,33.7,22.731428571428573,90.35,85.15142857142857
2017-02-13,Basti,Sarju,18.03,34.71,0.149,84.74,92.45,86.44,0,0,0.0,25.307142857142857,85.29,84.39714285714285
2017-02-13,Gorakhpur,Rapti,0.0,38.78,0.327,81.03,41.32,89.34,0,0,13.92,13.790000000000001,91.57,89.39142857142858
2017-02-13,Bahraich,Ghaghra,0.0,35.55,0.299,89.46,69.11,92.28,0,0,28.28,20.62285714285714,83.07,89.55857142857143
2017-02-13,Gonda,Ghaghra,27.77,35.94,0.231,92.18,71.86,96.58,0,0,8.23,24.178571428571427,102.98,85.19428571428571
2017-02-13,Lakhimpur Kheri,Sharda,0.0,27.96,0.175,86.05,36.59,93.73,0,0,0.0,22.400000000000002,87.65,84.63142857142857
2017-02-14,Ballia,Ganga,57.48,27.54,0.514,90.55,36.58,91.73,0,0,14.42,10.27142857142857,84.62,87.33857142857143
2017-02-14,Mau,Ganga,0.0,30.55,0.338,81.41,65.95,83.38,0,0,70.81,29.084285714285716,84.1,81.94571428571429
2017-02-14,Lakhimpur Kheri,Sharda,6.63,28.44,0.217,75.83,42.31,80.71,0,0,0.0,18.47714285714286,86.05,82.88428571428572
2017-02-14,Lakhimpur Kheri,Sharda,0.0,31.06,0.362,78.06,68.65,85.68,0,0,6.63,15.762857142857142,75.83,81.75857142857141
2017-02-15,Ballia,Ganga,36.48,31.92,0.18,84.79,77.91,93.4,0,0,57.48,15.482857142857142,90.55,87.55714285714285
2017-02-15,Basti,Sarju,0.0,29.96,0.179,88.77,72.65,95.95,0,0,18.03,23.85,84.74,85.64571428571428
2017-02-15,Barabanki,Gomti,43.29,32.37,0.206,80.29,51.66,87.31,0,0,25.95,41.57285714285714,78.31,86.24285714285715
2017-02-15,Bahraich,Ghaghra,20.03,26.19,0.218,86.92,58.47,94.51,0,0,0.0,23.48428571428571,89.46,89.55
2017-02-15,Lakhimpur Kheri,Sharda,0.0,35.02,0.242,82.26,56.75,88.54,0,0,0.0,15.762857142857142,78.06,83.12571428571428
2017-02-15,Sitapur,Sarju,59.54,31.09,0.403,84.39,81.02,87.28,0,0,101.91,38.91571428571429,91.6,82.00285714285714
2017-02-16,Barabanki,Gomti,20.08,40.24,0.405,87.35,52.21,89.07,0,0,43.29,44.39,80.29,87.64571428571428
2017-02-16,Faizabad,Ghaghra,45.57,37.65,0.407,86.46,46.21,91.63,0,0,41.48,22.145714285714288,79.48,86.03999999999999
2017-02-16,Gorakhpur,Rapti,0.0,29.61,0.192,92.51,69.94,96.11,0,0,0.0,13.790000000000001,81.03,89.61571428571429
2017-02-17,Sitapur,Sarju,76.98,38.66,0.345,75.74,78.4,81.72,0,0,59.54,49.91285714285714,84.39,82.27285714285713
2017-02-17,Mau,Ganga,1.79,37.42,0.213,92.91,43.74,96.18,0,0,0.0,29.34,81.41,83.11857142857143
2017-02-17,Gorakhpur,Rapti,7.88,36.92,0.343,89.05,39.49,93.23,0,0,0.0,14.915714285714285,92.51,88.28428571428572
2017-02-17,Ballia,Ganga,0.0,34.08,0.205,84.08,50.23,90.81,0,0,36.48,15.482857142857142,84.79,86.93714285714286
2017-02-17,Barabanki,Gomti,0.0,37.82,0.0,86.02,58.83,90.14,0,0,20.08,37.69285714285714,87.35,86.14857142857143
2017-02-18,Lakhimpur Kheri,Sharda,48.36,33.81,0.153,96.3,46.22,97.74,0,0,0.0,15.719999999999999,82.26,84.73714285714287
2017-02-18,Basti,Sarju,16.96,33.4,0.493,85.08,65.56,89.15,0,0,0.0,16.924285714285713,88.77,87.65857142857143
2017-02-18,Barabanki,Gomti,17.62,42.73,0.334,89.65,64.27,94.81,0,0,0.0,40.209999999999994,86.02,86.10571428571428
2017-02-19,Lakhimpur Kheri,Sharda,39.67,28.16,0.321,80.52,68.03,84.36,0,0,48.36,13.522857142857143,96.3,83.81000000000002
2017-02-19,Gorakhpur,Rapti,19.66,28.21,0.168,91.3,59.02,96.74,0,0,7.88,6.587142857142857,89.05,86.75714285714285
2017-02-19,Lakhimpur Kheri,Sharda,42.67,38.34,0.194,96.79,37.47,97.94,0,0,39.67,19.618571428571432,80.52,85.11571428571428
2017-02-19,Faizabad,Ghaghra,0.0,34.04,0.236,79.42,46.34,86.79,0,0,45.57,22.145714285714288,86.46,84.89857142857143
2017-02-20,Bahraich,Ghaghra,70.13,35.44,0.245,81.41,33.51,86.35,0,0,20.03,33.50285714285714,86.92,88.01571428571428
2017-02-20,Barabanki,Gomti,55.16,35.4,0.477,78.7,53.1,80.81,0,0,17.62,26.987142857142857,89.65,82.68142857142857
2017-02-20,Gonda,Ghaghra,24.38,30.92,0.259,90.09,82.99,87.15,0,1,27.77,27.66142857142857,92.18,86.90142857142857
2017-02-20,Basti,Sarju,20.42,26.0,0.413,78.5,52.45,84.85,0,0,16.96,17.7,85.08,86.94428571428571
2017-02-21,Barabanki,Gomti,5.03,30.1,0.215,78.38,45.58,81.39,0,0,55.16,23.875714285714285,78.7,82.67142857142856
2017-02-21,Lakhimpur Kheri,Sharda,64.62,33.25,0.378,86.51,76.59,87.6,0,0,42.67,28.85,96.79,85.18142857142857
2017-02-22,Ballia,Ganga,32.23,29.34,0.188,97.56,50.44,98.73,0,0,0.0,20.087142857142855,84.08,87.90285714285713
2017-02-22,Bahraich,Ghaghra,37.23,34.18,0.366,88.24,68.07,94.92,0,0,70.13,38.82142857142857,81.41,87.44714285714285
2017-02-22,Mau,Ganga,77.72,32.64,0.254,80.45,63.83,89.74,0,0,1.79,31.66142857142857,92.91,83.26428571428572
2017-02-23,Gonda,Ghaghra,5.06,33.8,0.368,81.29,58.03,90.84,0,0,24.38,18.87857142857143,90.09,85.29714285714286
2017-02-23,Barabanki,Gomti,80.54,35.85,0.473,93.0,74.43,94.53,0,0,5.03,31.67428571428572,78.38,84.77
2017-02-23,Gonda,Ghaghra,0.0,32.14,0.166,84.59,40.97,89.25,0,0,5.06,9.348571428571429,81.29,86.2157142857143
2017-02-23,Sitapur,Sarju,0.0,40.4,0.156,92.11,74.78,95.86,0,0,76.98,49.83857142857143,75.74,83.24
2017-02-24,Gonda,Ghaghra,21.75,33.7,0.449,87.05,44.42,82.45,0,1,0.0,12.455714285714285,84.59,87.76428571428572
2017-02-24,Bahraich,Ghaghra,92.73,33.96,0.391,95.78,51.9,99.17,0,0,37.23,38.30428571428571,88.24,87.2042857142857
2017-02-24,Ballia,Ganga,69.22,35.1,0.229,83.81,58.65,89.3,0,0,32.23,29.975714285714282,97.56,86.99857142857142
2017-02-25,Faizabad,Ghaghra,10.54,33.78,0.324,75.64,40.06,82.73,0,0,0.0,23.65142857142857,79.42,80.86
2017-02-25,Gorakhpur,Rapti,78.79,32.11,0.41,81.33,55.47,84.86,0,0,19.66,17.842857142857145,91.3,85.74285714285713
2017-02-25,Bahraich,Ghaghra,0.0,44.91,0.064,77.0,84.76,81.2,0,0,92.73,35.48571428571429,95.78,85.98285714285714
2017-02-25,Gorakhpur,Rapti,0.0,34.75,0.357,80.88,65.22,85.33,0,0,78.79,17.178571428571427,81.33,86.80999999999999
2017-02-25,Lakhimpur Kheri,Sharda,0.0,37.42,0.251,87.05,97.57,88.77,0,0,64.62,27.902857142857147,86.51,86.78428571428572
2017-02-26,Sitapur,Sarju,40.52,31.7,0.371,70.69,69.23,80.36,0,0,0.0,46.96,92.11,82.78
2017-02-26,Lakhimpur Kheri,Sharda,21.5,38.46,0.245,92.23,30.0,93.35,0,0,0.0,30.974285714285717,87.05,88.80857142857143
2017-02-26,Basti,Sarju,18.32,25.55,0.245,84.07,42.17,87.99,0,0,20.42,15.347142857142858,78.5,85.25714285714285
2017-02-26,Mau,Ganga,1.93,33.44,0.156,83.29,67.66,85.85,0,0,77.72,24.335714285714285,80.45,83.12
2017-02-26,Faizabad,Ghaghra,0.0,32.96,0.1,95.03,61.65,98.1,0,0,10.54,18.5,75.64,81.85
2017-02-27,Gonda,Ghaghra,0.73,28.92,0.06,80.05,43.17,85.04,0,0,21.75,12.56,87.05,88.31857142857143
